# AV Training Trials
# Session started: 2026-06-11T21:47:08.6096810-04:00
# Unity: 6000.2.8f1
# Device: Oculus Quest 2 / Android OS 14 / API-34 (UP1A.231005.007.A1/52175280031200150)
# Scene: AVTrainingSession1Pilot
timestamp_ms,session_index,block_index,trial_index,eccentricity_deg,hemifield,contrast_logcs,stimulus_onset_ms,audio_onset_ms,response_onset_ms,rt_ms,hit,av_delta_ms,trial_type,is_control_trial,counts_for_rehab_dose,horizontal_angle_deg,vertical_angle_deg
244327,1,1,91,-5.00,left,4.800,243758,243758,244327,569,1,0.00,rehab,0,1,-5.00,0.00
247215,1,1,92,-5.00,left,4.800,246743,246743,247215,472,1,0.00,rehab,0,1,-5.00,0.00
249103,1,1,93,-5.00,left,4.950,248603,248603,249103,500,1,0.00,rehab,0,1,-5.00,0.00
251644,1,1,94,-5.00,left,4.950,251227,251227,251644,417,1,0.00,rehab,0,1,-5.00,0.00
253477,1,1,95,-5.00,left,5.100,253088,253088,253477,389,1,0.00,rehab,0,1,-5.00,0.00
255615,1,1,96,-5.00,left,5.100,255157,255157,255615,458,1,0.00,rehab,0,1,-5.00,0.00
258420,1,1,97,-5.00,left,5.250,258003,258003,258420,417,1,0.00,rehab,0,1,-5.00,0.00
260322,1,1,98,-5.00,left,5.250,260002,260002,260322,319,1,0.00,rehab,0,1,-5.00,0.00
262557,1,1,99,-5.00,left,5.400,262224,262224,262557,333,1,0.00,rehab,0,1,-5.00,0.00
264682,1,1,100,-5.00,left,5.400,264223,264223,264682,458,1,0.00,rehab,0,1,-5.00,0.00
266667,1,1,101,-5.00,left,5.550,266209,266209,266667,458,1,0.00,rehab,0,1,-5.00,0.00
269125,1,1,102,-5.00,left,5.550,268625,268625,269125,500,1,0.00,rehab,0,1,-5.00,0.00
271221,1,1,103,-5.00,left,5.700,270763,270763,271221,458,1,0.00,rehab,0,1,-5.00,0.00
273832,1,1,104,-5.00,left,5.700,273179,273179,273832,653,1,0.00,rehab,0,1,-5.00,0.00
276109,1,1,105,-5.00,left,5.850,275664,275664,276109,444,1,0.00,rehab,0,1,-5.00,0.00
278913,1,1,106,-5.00,left,5.850,278386,278386,278913,528,1,0.00,rehab,0,1,-5.00,0.00
281760,1,1,107,-5.00,left,6.000,281218,281218,281760,541,1,0.00,rehab,0,1,-5.00,0.00
284564,1,1,108,5.00,right,6.000,284051,284051,284564,514,1,0.00,right_control,1,0,5.00,0.00
288202,1,1,109,-5.00,left,6.000,286689,286689,-1,-1,0,0.00,rehab,0,1,-5.00,0.00
290063,1,1,110,-5.00,left,5.850,289660,289660,290063,403,1,0.00,rehab,0,1,-5.00,0.00
292270,1,1,111,-5.00,left,5.850,291701,291701,292270,569,1,0.00,rehab,0,1,-5.00,0.00
294367,1,1,112,-5.00,left,6.000,293673,293673,294367,694,1,0.00,rehab,0,1,-5.00,0.00
296755,1,1,113,-5.00,left,6.000,296130,296130,296755,625,1,0.00,rehab,0,1,-5.00,0.00
299254,1,1,114,-5.00,left,6.150,298699,298699,299254,555,1,0.00,rehab,0,1,-5.00,0.00
301073,1,1,115,-5.00,left,6.150,300504,300504,301073,569,1,0.00,rehab,0,1,-5.00,0.00
303420,1,1,116,-5.00,left,6.300,302906,302906,303420,514,1,0.00,rehab,0,1,-5.00,0.00
305447,1,1,117,-5.00,left,6.300,304766,304766,305447,680,1,0.00,rehab,0,1,-5.00,0.00
309015,1,1,118,-5.00,left,6.450,307502,307502,-1,-1,0,0.00,rehab,0,1,-5.00,0.00
311500,1,1,119,-5.00,left,6.300,310959,310959,311500,541,1,0.00,rehab,0,1,-5.00,0.00
314180,1,1,120,-5.00,left,6.300,313375,313375,314180,805,1,0.00,rehab,0,1,-5.00,0.00
316874,1,1,121,-5.00,left,6.450,316429,316429,316874,444,1,0.00,rehab,0,1,-5.00,0.00
319678,1,1,122,-5.00,left,6.450,319040,319040,319678,639,1,0.00,rehab,0,1,-5.00,0.00
