# AV Training Trials
# Session started: 2026-05-31T09:33:25.9133690-04:00
# Unity: 6000.2.8f1
# Device: Oculus Quest 2 / Android OS 14 / API-34 (UP1A.231005.007.A1/52175280028600150)
# Scene: AVTrainingSession1Pilot
timestamp_ms,session_index,block_index,trial_index,eccentricity_deg,hemifield,contrast_logcs,stimulus_onset_ms,audio_onset_ms,response_onset_ms,rt_ms,hit,av_delta_ms,trial_type,is_control_trial,counts_for_rehab_dose
646702,1,1,221,-8.00,left,0.300,645199,645199,-1,-1,0,0.00,rehab,0,1
649640,1,1,222,-8.00,left,0.150,648137,648137,-1,-1,0,0.00,rehab,0,1
652829,1,1,223,-8.00,left,0.000,651325,651325,-1,-1,0,0.00,rehab,0,1
655599,1,1,224,-8.00,left,0.000,654096,654096,-1,-1,0,0.00,rehab,0,1
657187,1,1,225,-5.00,left,0.000,656811,656811,657187,376,1,0.00,rehab,0,1
660347,1,1,226,-8.00,left,0.000,658844,658844,-1,-1,0,0.00,rehab,0,1
664302,1,1,227,-8.00,left,0.000,662798,662798,-1,-1,0,0.00,rehab,0,1
667421,1,1,228,-8.00,left,0.000,665917,665917,-1,-1,0,0.00,rehab,0,1
670372,1,1,229,-8.00,left,0.000,668869,668869,-1,-1,0,0.00,rehab,0,1
672377,1,1,230,-8.00,left,0.000,671806,671806,672377,571,1,0.00,rehab,0,1
674229,1,1,231,-5.00,left,0.000,673630,673630,674229,599,1,0.00,rehab,0,1
677097,1,1,232,8.00,right,0.150,676680,676680,677097,418,1,0.00,right_control,1,0
679228,1,1,233,-5.00,left,0.150,678754,678754,679228,473,1,0.00,rehab,0,1
683182,1,1,234,-8.00,left,0.150,681678,681678,-1,-1,0,0.00,rehab,0,1
685980,1,1,235,-8.00,left,0.000,684477,684477,-1,-1,0,0.00,rehab,0,1
688264,1,1,236,5.00,right,0.000,687846,687846,688264,418,1,0.00,right_control,1,0
692190,1,1,237,-8.00,left,0.000,690687,690687,-1,-1,0,0.00,rehab,0,1
695421,1,1,238,-8.00,left,0.000,693917,693917,-1,-1,0,0.00,rehab,0,1
698637,1,1,239,-5.00,left,0.000,697815,697815,698637,822,1,0.00,rehab,0,1
702285,1,1,240,-5.00,left,0.000,700781,700781,-1,-1,0,0.00,rehab,0,1
704025,1,1,241,-5.00,left,0.000,703580,703580,704025,446,1,0.00,rehab,0,1
707088,1,1,242,-8.00,left,0.000,705585,705585,-1,-1,0,0.00,rehab,0,1
710193,1,1,243,-8.00,left,0.000,708690,708690,-1,-1,0,0.00,rehab,0,1
712658,1,1,244,-5.00,left,0.000,712170,712170,712658,487,1,0.00,rehab,0,1
714830,1,1,245,5.00,right,0.000,714370,714370,714830,459,1,0.00,right_control,1,0
718450,1,1,246,-8.00,left,0.000,716946,716946,-1,-1,0,0.00,rehab,0,1
721973,1,1,247,-8.00,left,0.000,720469,720469,-1,-1,0,0.00,rehab,0,1
724729,1,1,248,-8.00,left,0.000,723226,723226,-1,-1,0,0.00,rehab,0,1
726901,1,1,249,-5.00,left,0.000,726372,726372,726901,529,1,0.00,rehab,0,1
729199,1,1,250,-5.00,left,0.000,728739,728739,729199,459,1,0.00,rehab,0,1
731872,1,1,251,-5.00,left,0.150,731273,731273,731872,599,1,0.00,rehab,0,1
734671,1,1,252,-5.00,left,0.150,733640,733640,734671,1030,1,0.00,rehab,0,1
738012,1,1,253,-8.00,left,0.300,736509,736509,-1,-1,0,0.00,rehab,0,1
740268,1,1,254,-5.00,left,0.150,739739,739739,740268,529,1,0.00,rehab,0,1
742969,1,1,255,8.00,right,0.150,742524,742524,742969,446,1,0.00,right_control,1,0

# TRIAL SUMMARY
# Total recorded trials: 255
# Rehab-dose trials: 233
# Control trials: 22
